sound_id,split
66104,train
76294,train
50443,train
114333,val
5793,train
168588,train
11027,train
107356,train
219401,train
152711,train
24939,train
344664,train
17696,train
17862,train
23019,train
101247,train
132176,train
183780,train
326335,train
74679,val
17929,train
480715,train
83434,train
214617,train
240008,val
347562,test
5823,val
96956,test
65266,train
61721,test
357024,train
25610,train
121206,train
251161,train
4770,train
7313,train
144982,train
328905,train
171077,train
75643,train
195579,train
48478,train
408708,val
260802,train
374057,val
41000,train
18486,val
153614,val
263531,test
186489,val
225092,train
379754,train
196061,train
48983,train
55246,val
78718,val
57509,test
215999,train
146867,train
50449,train
277547,train
86922,train
23563,train
255856,test
182569,train
48080,val
71046,train
328868,train
241925,train
13852,train
92932,train
23475,val
55990,train
38851,train
47679,train
209044,val
26500,train
114117,train
234996,test
11653,train
187595,test
236395,train
119668,train
99977,train
228752,val
63733,val
148941,val
89782,train
40807,train
41691,test
142870,test
358311,val
16844,train
34140,test
161600,train
418994,train
13479,test
21057,val
156756,train
61560,val
372423,train
58160,train
120455,test
50123,train
12927,val
14321,val
172711,train
372708,train
151994,test
46,train
491167,val
393792,train
117566,train
79264,train
146671,test
243780,train
354037,train
368812,train
177257,train
173605,test
38639,train
277361,train
61747,train
87963,train
427575,train
40902,train
3467,test
244979,train
247813,train
187093,train
146554,val
358637,val
8763,val
101412,train
53691,train
25069,train
114158,train
102113,train
157735,train
36562,train
29889,test
128834,train
246947,test
72152,val
236571,train
137701,train
354186,train
200381,train
412191,test
132816,train
132047,val
246881,train
236457,test
16436,test
175465,train
155234,train
238013,train
29191,train
48456,val
104720,train
181928,train
417430,val
155279,train
15363,train
388688,train
354220,test
132802,train
155123,train
2705,val
72678,train
90412,test
118748,train
137837,train
172109,train
86934,train
413619,train
130727,train
370664,train
144225,train
155222,train
34134,test
109883,train
5775,train
347761,train
69132,test
221951,val
29363,train
421723,train
97189,train
20784,train
121943,train
355312,train
63220,val
140638,train
1922,train
258038,train
416380,test
246083,train
189822,train
276119,train
12920,train
48157,train
169620,train
240230,train
78747,train
3913,train
56926,val
358165,train
47067,train
62681,train
490230,test
364343,val
26931,train
372679,train
120667,train
150854,train
267918,train
81349,val
85272,test
116229,test
86262,train
79145,test
101621,val
2733,test
368276,test
212610,train
143868,train
89893,train
241477,test
5785,train
18716,train
233410,val
91605,train
67861,train
108042,train
158601,train
360794,train
154334,train
37209,test
78611,train
21412,val
86720,train
380806,train
172930,val
170786,train
360239,train
396074,train
162257,train
69478,val
153166,train
81137,train
97378,train
68705,test
107740,train
27062,test
147164,train
2890,train
195282,train
247391,train
41076,train
64876,train
354190,test
55438,train
15254,test
104189,train
151738,train
264611,val
277595,test
38423,train
325017,train
73203,train
152074,train
80641,train
195219,train
1135,test
15961,train
41087,train
108772,train
123688,train
271605,val
189416,val
17133,test
264152,val
148547,val
53798,train
67417,train
71699,train
64777,train
248009,train
25639,val
66618,train
93895,train
13315,val
58079,train
156785,train
409093,train
41725,train
174776,train
190101,train
372683,test
463592,train
371978,train
156715,train
86606,val
42712,train
107736,train
107725,train
13052,test
109122,train
424785,train
78523,train
200955,train
171442,val
233068,val
105438,train
76531,val
142294,train
361089,train
275791,train
71812,train
335347,train
43542,train
348385,test
86447,train
102934,train
398461,train
51207,train
98449,train
102508,train
267569,test
80717,train
46237,train
42917,train
90438,train
117946,val
212108,train
177811,val
200960,test
20694,train
39169,test
50912,train
29476,test
377844,train
85958,train
302492,test
125272,test
424071,test
235167,train
242688,val
73282,train
5520,test
187662,train
57770,train
427134,train
38329,train
142216,train
114098,train
142905,train
459706,train
142246,train
10661,train
34419,train
60777,train
30353,train
105945,test
66155,test
199070,train
32311,train
326348,train
56019,train
157599,train
127113,val
78867,train
48359,train
102864,train
14009,train
101315,test
385031,train
371997,train
415397,train
343680,train
340910,train
328052,test
247893,train
92970,train
11066,val
45539,train
40389,train
146675,train
97527,train
188707,train
275522,test
232618,train
178826,train
1818,train
21237,train
198038,train
1194,train
373179,val
161427,train
72288,train
354985,train
73188,val
162565,train
366177,test
79045,val
154315,train
210734,test
76169,val
70098,test
382906,train
164118,train
40831,val
5702,val
150163,train
218889,train
223002,val
26539,train
92000,train
77580,train
372783,train
25232,train
52867,train
334538,train
86420,test
157658,test
50114,val
123399,val
56135,test
124690,train
236352,train
5804,train
172364,train
369358,train
30199,test
10697,train
179315,train
161267,train
401605,train
108870,val
348244,train
77291,train
386203,train
41862,val
51703,test
375541,train
265311,test
151711,val
172440,train
50951,val
42352,train
89335,test
136878,train
147925,train
93453,train
83,train
153620,test
51413,train
128673,train
345263,train
92392,val
57147,train
64664,test
10729,train
246958,train
77742,train
246782,train
343969,train
153657,train
351173,test
222324,train
119658,val
343928,train
10971,train
64743,train
386106,test
214697,train
37361,train
13050,train
248176,train
59303,train
387957,train
133230,train
223280,test
161686,train
214623,train
374117,train
334100,train
382220,train
67199,train
410642,train
268128,train
83996,test
277103,train
104634,train
358793,train
56294,test
334588,train
115504,train
357175,train
415371,val
147944,val
231265,train
153599,train
27927,val
115221,test
37178,test
151285,train
180542,train
152939,train
21621,train
161235,train
40846,train
84574,train
372631,train
35140,train
353103,train
157280,train
127446,test
356790,train
87130,train
246671,test
86434,train
391842,train
156602,val
183645,test
239671,val
59450,test
16430,train
347719,train
58501,train
73108,train
327915,train
320394,val
48322,train
13856,train
65339,val
154097,test
188629,test
222222,test
84867,train
159543,train
132987,train
368509,train
24365,train
119385,train
130733,train
394909,train
31346,train
58063,train
217740,train
4052,train
358392,train
164367,train
111032,val
127440,train
86837,val
95814,val
124720,test
177804,train
146217,train
40049,test
30041,train
164385,train
120970,train
337236,test
31940,test
181896,test
264376,train
326721,train
112066,train
395296,test
95818,train
153108,train
236505,train
9663,train
86895,train
96458,train
78840,test
246113,train
349403,train
13008,val
56552,val
117215,val
165170,test
29157,train
24598,test
168671,train
32582,train
358276,train
399048,train
85721,train
183635,train
152689,train
68729,train
24984,train
325696,train
89113,train
3004,test
136263,train
67872,train
50775,val
164878,train
194872,train
423009,train
38561,train
92943,val
355102,val
20695,train
379058,val
397673,test
4530,train
5187,train
66785,train
80558,train
341189,train
214849,train
151611,train
156832,train
410868,train
10981,train
20644,train
25704,train
365207,train
59890,train
166919,train
83494,train
189376,val
71138,train
57598,train
39,train
22717,val
69159,train
388476,train
210602,train
232499,train
358391,train
127644,test
15903,train
36231,train
53474,val
31345,train
343939,test
15929,train
113263,train
144260,train
154029,train
168305,train
22018,val
382885,train
72008,train
214609,val
254384,val
13594,val
197947,train
241546,train
375068,train
86729,train
137444,train
76449,test
50495,val
3949,train
15541,train
270695,train
108769,train
222356,test
187147,train
383948,val
38969,train
26588,train
39388,test
6987,train
96091,val
32169,test
30143,train
120384,test
143803,train
9364,train
252393,val
91237,val
218877,train
32547,train
59158,val
38628,train
90351,train
193675,train
195862,train
60802,val
90259,train
19749,train
200551,train
39202,train
28672,train
29130,val
23076,train
355912,val
15395,train
121301,train
183636,train
17146,train
89124,train
120963,train
3329,train
270470,test
393461,train
418458,val
57496,val
153939,train
91989,val
218177,train
15257,train
348879,train
420054,train
151861,train
365241,test
105276,train
237730,train
2615,train
56292,train
411917,train
236508,train
15474,train
61893,val
166958,test
111030,train
202301,val
21123,train
11666,test
92381,val
202420,val
15749,val
240934,test
128996,train
127251,train
103562,train
166050,train
114364,train
214989,train
69760,train
236643,train
137463,train
132340,train
36859,test
80798,train
21560,train
417826,test
114079,train
373875,train
40899,train
57446,train
90258,train
93640,train
170797,train
171349,train
156716,train
432400,train
111650,train
396995,train
40455,train
111038,train
4270,train
25607,test
76143,train
399464,train
102706,train
101903,train
236545,train
11958,train
119844,train
29335,train
261585,train
46729,test
174024,train
69368,train
145486,train
477115,val
69027,val
77668,train
369707,val
357454,val
6272,train
61787,train
388423,train
274153,test
34278,train
105481,train
174105,train
163120,train
407945,train
361564,train
13881,val
2438,train
341534,train
154059,train
325032,val
60782,test
316686,train
41744,train
146835,train
41979,train
143958,train
44051,train
372663,train
162950,train
236617,train
248648,test
302493,train
246974,train
11369,train
203492,test
267501,train
176251,train
253598,val
22887,train
355000,train
243944,train
251633,train
345423,train
2714,train
38983,train
61771,train
162395,test
58124,train
315923,train
316443,train
96825,train
180920,val
24243,train
21245,test
141160,train
324338,train
38465,train
422146,train
358066,train
341509,train
366034,train
94033,train
104212,test
97635,train
70955,train
214622,train
161678,test
123900,train
2531,train
386303,train
166216,train
189420,train
187340,val
153601,train
256205,train
158526,train
353953,train
412556,train
163695,train
69084,val
111124,val
149877,train
24507,test
146257,test
477251,train
4527,train
115560,train
102390,train
96090,train
413244,train
18057,test
348873,train
174860,train
72143,train
63063,val
73257,train
55306,train
349263,test
45728,train
4285,train
397920,train
49898,train
211528,test
81321,val
11009,val
6849,train
152802,train
76302,train
120124,train
146569,train
46153,test
28826,train
142622,train
336514,val
485473,train
324057,train
100253,train
103592,train
373674,train
18756,train
80317,train
127162,train
44124,train
221548,train
263036,val
39495,train
65576,val
248362,train
36129,train
2693,train
65604,train
50130,val
189488,test
162854,train
24808,val
13323,train
25227,test
23567,test
222648,train
156188,train
58272,test
50332,val
79470,train
425230,train
40908,train
137940,train
142813,train
237682,train
398513,train
254570,train
166171,train
3336,val
108889,train
260246,train
3739,train
78854,test
339656,train
148536,test
49315,train
157514,train
79454,train
9544,val
102308,test
127360,train
30942,val
361278,train
358163,train
72826,train
377157,train
429076,test
12784,train
24247,train
56154,test
207481,train
32548,train
10549,test
25590,train
50172,test
92934,train
348324,train
109244,train
239508,train
138902,train
318838,train
104795,train
49661,train
5146,train
102072,train
147599,train
96077,test
316440,test
247121,train
48510,val
150271,train
402461,train
82698,train
247395,train
347314,test
3896,test
86653,train
138149,test
219110,train
98439,train
15248,train
354694,train
419855,test
239756,test
60801,train
381192,train
116367,train
414225,val
58237,train
109871,train
246732,val
434344,train
274058,train
44969,val
415473,train
85620,train
136048,train
36871,train
28721,train
184739,train
71080,train
15230,train
40426,train
1830,train
237063,train
158980,train
68722,val
274890,train
253532,train
404368,test
23073,train
177809,train
213691,test
40058,val
330564,train
5265,train
120666,train
155285,test
94407,train
5254,val
253463,train
100632,train
22779,train
425662,train
63719,train
241485,train
153876,train
153973,val
241484,train
16625,test
118379,train
57458,train
153376,train
92890,train
94252,train
147100,train
50254,train
323419,train
213890,val
68132,train
153143,train
40619,train
246102,train
189359,train
386434,train
119352,train
48703,train
107734,train
146196,val
333769,train
404841,val
39147,train
269584,train
251860,val
355221,val
147810,test
92949,train
192149,test
76650,val
320456,test
158782,train
362760,train
58858,train
72302,train
28747,train
180174,train
173746,val
24184,train
173795,val
88408,train
323080,train
46684,train
116617,train
245639,train
101676,train
324192,val
3253,train
378684,train
406067,val
119375,train
10785,train
67999,train
17518,train
174030,val
216001,test
337373,train
269783,train
416308,train
269906,test
270130,val
76609,train
11051,test
46962,val
369988,val
410274,train
41568,train
359788,train
64205,train
2723,train
150946,test
20084,train
108358,train
127276,test
41361,train
110265,train
86830,val
410145,test
423748,train
3287,test
107747,val
21866,train
222300,val
167064,train
169544,train
374703,test
366455,test
236660,val
149743,train
32446,test
288930,train
139095,train
32865,val
116899,train
246363,val
332729,train
9573,train
127357,train
10094,val
316595,train
92942,train
5663,test
168157,train
196930,train
149763,train
199154,train
379757,train
131016,test
25609,train
395301,val
62556,train
374706,test
32151,test
11073,val
347918,test
358213,train
68666,train
45477,test
101731,val
114358,train
372046,train
137979,val
28567,train
36764,test
86384,test
388407,train
16121,test
153999,train
57619,train
382857,train
236487,train
34369,test
113764,train
190526,train
50259,train
373193,train
415460,train
189490,train
47675,train
191928,train
65435,test
357950,train
106991,train
47847,test
29364,train
50178,val
51265,test
146254,val
347322,train
63521,val
219303,test
248945,train
108541,train
160018,train
272038,train
8697,train
24510,train
114073,train
107605,train
189360,train
86082,train
168484,val
56875,train
51900,val
86443,train
222375,train
20786,train
70375,train
182789,train
474941,test
400586,test
31027,train
366676,test
45115,train
105958,train
344001,train
147685,train
67876,train
83625,train
259528,train
137648,test
388057,train
344077,val
355231,train
12957,train
167194,test
29436,val
96980,train
178022,test
187934,train
6851,train
117001,train
84084,train
25381,train
152548,train
247103,val
146771,train
249474,train
367099,train
8157,train
190915,train
184469,test
424111,train
76555,train
356858,train
147018,train
28570,val
137930,val
67750,test
374802,train
178560,train
348392,train
128100,train
373990,train
5153,train
160040,train
106352,train
63696,train
375493,train
388474,train
88914,train
78699,train
382888,test
14951,train
383975,test
82716,train
165265,train
182965,train
179352,train
151800,test
208741,train
355220,train
11965,train
72310,train
37943,train
387774,test
249158,train
223294,train
24833,val
391494,train
348386,train
142880,test
86824,train
233805,train
196378,train
70069,train
400699,train
38590,test
431189,train
50505,val
74820,train
57425,train
170737,train
247374,train
131644,train
64279,val
10113,val
371090,train
20935,train
408488,train
90435,train
46986,train
233208,val
257553,train
30624,train
21625,train
374209,train
323725,train
200712,train
358380,train
39301,train
41068,test
214404,val
63852,train
216283,train
253772,train
382222,train
21440,train
164656,train
200944,train
192261,train
118899,val
155280,train
213565,train
38368,val
108443,val
154046,train
109570,train
80706,train
86675,train
50314,train
34328,test
39863,train
25773,train
380400,test
32423,train
41964,train
125579,test
165288,test
182356,val
420313,train
5193,test
68438,train
59006,train
193810,train
106560,train
89385,train
354841,train
165997,test
260471,test
92577,train
150030,train
231642,train
116228,test
72577,test
85684,val
36044,train
24818,test
68440,val
175417,train
18966,val
38181,train
9923,test
10899,test
247902,val
162103,train
97287,test
13904,train
246368,train
388056,test
52404,test
29302,train
429063,train
50201,test
239202,train
10758,train
421642,train
188084,train
359185,train
56030,test
245197,train
119320,train
50445,train
106883,train
14227,train
142860,train
98645,train
127364,train
168514,train
261299,train
130715,train
34373,val
114115,train
333923,train
55093,test
345966,train
24106,train
118384,test
40011,train
69157,val
61214,val
19247,train
354103,train
380753,train
80683,train
373004,val
15746,train
247776,val
27930,train
401987,train
13037,train
65718,train
90432,train
69432,train
259977,val
55721,train
233617,train
236522,train
387360,train
44962,val
415458,train
92921,train
62457,test
31934,test
70383,train
372702,test
181540,val
153337,train
128005,train
53882,train
4227,train
117496,train
154698,val
185812,train
327661,train
54949,test
50185,train
90738,train
201009,train
16797,val
390313,test
165166,train
373675,val
34073,train
60065,train
160538,train
137907,train
54539,train
86579,train
328846,train
346492,train
26368,train
33411,train
93854,train
111033,train
55896,train
15916,train
4576,train
34663,val
57029,train
73735,train
79265,train
9224,val
107078,val
254583,train
108572,train
73115,train
355832,val
345,train
339625,train
439994,test
79771,train
29955,train
361045,test
26898,train
38514,train
107053,val
98994,train
104111,train
244667,train
434449,train
275422,test
48989,val
28933,train
275788,val
423743,train
262326,train
113288,test
417452,test
274997,train
68904,train
43187,val
372655,train
220597,train
17437,val
97228,train
359126,train
10861,train
202498,train
72984,test
201002,train
65889,train
240779,test
43244,train
80672,train
160539,train
115567,train
113328,train
344020,train
262233,train
259687,train
45203,train
26514,test
162685,train
53570,val
108196,val
358471,train
18660,train
16838,train
40347,train
50413,test
158592,test
101318,train
166101,test
5108,train
78804,train
88300,train
6059,train
69434,val
266753,train
181757,train
25293,val
29841,val
89261,train
168725,train
113333,train
66494,train
359804,train
211503,train
15246,train
87682,test
137573,test
8528,train
5511,train
59973,train
71190,train
386117,train
96096,train
184606,train
474943,val
127290,train
188825,val
428781,train
247272,train
136666,train
105964,train
61580,train
140519,test
87259,train
321133,train
378275,val
21665,train
43259,train
97032,train
101409,train
111171,train
155637,test
152566,train
82322,test
476977,train
239513,val
36534,train
241461,train
176126,train
71608,train
92367,test
102533,train
465902,test
242230,train
109900,train
98290,train
367302,train
66131,train
83703,train
28932,train
388840,test
63827,train
99002,train
36394,train
58386,train
387225,test
105478,train
271947,train
39389,train
236326,test
247967,train
338220,train
248713,train
160373,train
193842,val
246871,test
8434,test
239751,val
353528,train
133442,val
82808,test
239870,test
251091,val
16250,train
25824,train
410427,train
54458,train
100861,train
15352,train
76469,train
142578,test
355115,train
143393,val
130872,test
416438,train
10802,train
79703,train
151223,train
114429,train
721,train
176021,train
48988,train
240079,test
377084,train
97150,val
214866,test
374978,train
252320,val
72287,val
8380,train
427375,train
40448,val
5151,test
156801,train
108509,test
477507,val
374220,train
174168,train
265110,val
149252,train
15919,val
349956,train
69962,train
13853,train
163688,train
344017,train
54465,train
188066,test
418513,test
476803,test
108157,train
82671,train
78630,train
336994,test
337721,train
128795,train
27256,val
189237,train
55017,train
347862,train
90082,train
20188,train
26969,train
61914,train
222061,train
183597,test
61873,train
146465,train
426783,train
63507,train
386492,test
358048,train
29447,test
413742,train
5810,train
474938,train
66889,train
31376,train
330762,train
137418,test
42241,train
270741,val
47589,train
40861,test
196068,train
114100,train
84693,val
79489,train
355186,test
173690,train
10925,train
231468,train
371224,train
48577,test
126567,train
61285,train
395197,val
6203,train
88302,train
90277,test
199150,train
28620,train
54452,train
117545,train
159987,train
11646,train
4179,train
7602,train
108880,train
133100,test
156802,train
29441,val
58948,train
268844,test
140703,train
189407,test
132711,train
120760,val
162230,train
14160,val
177252,train
245410,train
24810,val
383565,val
121295,train
252295,train
236291,train
137939,train
157911,train
327035,train
39410,train
10936,val
79936,train
183744,train
1198,train
107845,train
341507,train
3842,val
8797,test
141808,val
1412,test
5361,train
82228,train
124488,val
220590,train
128060,train
156744,test
67280,train
333659,train
248117,train
132110,train
156704,train
15566,train
50655,train
114507,train
427338,val
434183,test
160371,train
90022,train
161923,train
28253,test
96814,val
179264,val
111737,train
362919,train
89724,train
264097,train
28648,train
276669,val
350109,train
119201,train
10800,train
219636,train
188031,train
79618,train
318555,train
71914,val
31796,test
204640,test
17943,train
28735,train
144613,val
126554,val
354426,val
80,train
354581,train
241543,train
15955,val
50268,val
30283,val
363118,train
39318,test
90801,train
245707,train
202583,test
5881,train
91995,train
67308,train
38582,val
60799,train
21573,val
26934,train
22751,train
160983,val
122956,train
338170,test
150546,train
76999,train
32105,train
111018,train
67041,test
115486,train
29388,train
142711,val
150534,train
355305,test
389640,test
43436,train
302526,train
29186,test
359121,train
40998,test
151349,test
39732,train
241742,train
53292,test
11007,train
222878,val
80613,test
2266,train
467334,val
167404,train
357428,train
22706,train
50278,train
431439,train
187284,train
118607,train
70143,val
134747,train
58589,train
394866,val
32479,train
382411,train
324546,train
144823,train
68653,train
245604,train
70345,val
78217,train
28396,train
118486,train
27232,train
188465,train
373204,train
334585,test
195597,train
434034,val
34978,train
10872,train
372746,train
102378,test
50181,val
237520,train
50251,train
667,train
137414,train
71622,train
165885,train
54417,train
141184,train
33565,train
354317,train
177227,train
484628,train
360184,train
214390,train
347246,train
50285,val
105459,train
6043,train
163653,train
179904,val
6047,train
23098,test
152557,val
116909,train
154339,train
383646,train
56033,train
64254,train
239664,train
39651,test
316598,train
54420,train
214548,val
148016,train
356441,train
3269,train
28563,train
63246,train
13923,val
242561,train
110624,train
274052,train
65440,train
365103,train
151260,val
34889,train
198262,val
57515,test
80822,train
233803,test
243798,train
221832,train
208905,train
165113,test
24314,train
192238,train
394770,train
119321,train
41516,train
15265,train
117802,train
343957,train
33791,val
105578,train
146854,train
30282,train
173905,train
88957,train
127725,train
151596,train
92375,train
10131,train
63327,train
1261,train
21063,train
356824,train
156806,train
155120,train
374847,val
101314,train
222671,train
78321,val
128104,train
69387,train
373569,train
2607,train
71049,train
189947,train
199174,val
354867,train
31817,train
114083,train
369088,train
159436,train
160910,train
30789,val
373708,train
373844,train
147941,train
87952,val
154304,train
74377,train
242242,val
10885,test
386126,train
52102,train
97827,val
247491,val
11969,train
10419,test
91907,test
45065,train
87406,train
16051,train
86462,train
362310,train
365772,train
63586,train
42359,train
40333,train
162992,train
56414,train
406632,train
72652,train
26766,train
25424,train
167543,train
415430,train
421667,test
72563,train
354453,test
128816,train
424123,val
270197,train
29217,train
50812,test
211823,test
236663,train
147760,train
319705,train
104805,train
377842,val
245204,train
119726,val
16668,train
324060,val
177859,test
30685,val
84067,train
333421,train
340547,val
11676,train
136992,train
58265,test
173195,train
107608,train
45280,train
153646,train
56549,test
10125,train
239466,train
168688,train
380803,train
50179,train
64613,train
172088,train
191898,train
382798,test
4180,train
11899,test
382883,train
371920,train
58168,train
107135,test
340711,train
173674,val
27978,train
142698,train
67655,train
86764,train
14317,train
76442,test
21747,train
65654,train
373288,train
407723,train
441163,train
109872,val
106435,train
23017,train
103540,train
60593,test
105473,train
11550,train
154404,val
261194,val
93345,train
13218,train
125244,val
154075,train
357461,train
355172,train
4544,test
48670,train
315852,train
333271,train
275276,train
276142,train
235100,train
214745,val
105083,train
141186,test
119459,train
105360,test
183710,train
275008,train
28972,test
234857,val
400802,val
166133,train
18268,train
9206,val
54636,train
3889,train
356605,train
66876,train
68720,train
8685,test
373643,train
419112,test
153822,train
234590,train
64194,train
41981,train
153953,train
409192,val
26729,train
373931,train
13481,test
172923,train
115801,val
97295,train
116820,train
151598,train
97559,train
114120,test
9557,train
137640,train
130713,train
166899,train
445125,test
359446,val
51258,test
354035,test
324747,train
60606,train
368508,train
161358,train
142645,train
243553,val
50050,train
7547,val
242138,val
84022,test
373283,train
99228,test
4252,train
3860,test
31295,train
168197,val
164168,train
50062,train
10114,train
119113,test
432122,train
4828,train
142530,test
169802,test
33924,train
382871,train
145563,train
248944,train
213986,train
104843,train
421025,train
166716,train
116706,val
108134,train
325859,train
91112,test
247075,train
154041,train
433703,val
137695,train
103561,train
30027,train
163450,test
388512,train
61249,test
97607,train
80790,train
37664,train
55319,train
183625,val
218844,train
374805,test
369961,train
411018,train
164178,val
72877,val
42318,train
31648,train
401003,val
367328,train
335022,train
172743,train
355816,train
374050,train
386360,train
325928,train
61505,train
402614,train
1399,train
66761,train
155193,train
2743,train
277593,val
169283,train
81923,test
77299,train
11627,test
32873,train
29618,train
271557,test
68150,train
87638,train
76566,train
356930,train
401138,train
146690,train
11855,train
102495,train
10132,train
95956,train
39920,train
234090,val
17930,train
235048,train
87654,train
373194,train
270706,train
154840,train
233808,train
96503,test
320748,val
39197,test
373638,train
239837,train
49408,train
65756,train
420867,train
164769,val
28726,train
38977,train
326848,train
78628,train
404969,val
83132,train
91227,test
247766,train
354295,train
236636,train
3835,val
394185,train
141689,train
214568,train
221725,train
364700,val
26553,train
31421,test
222461,val
273060,train
10680,train
30022,train
209620,train
354741,test
51032,val
150368,test
105769,train
38630,train
127153,train
5630,train
135718,train
173933,train
154067,train
355147,train
101374,train
345397,train
18474,train
31782,val
31419,train
220586,train
9190,test
187560,train
193596,train
50299,val
65335,train
4540,val
237324,train
372045,train
109598,val
202305,train
1911,train
11563,train
13891,val
378687,val
107713,val
37956,train
137583,val
39209,val
6730,train
114147,train
422863,train
38646,train
88898,train
102388,train
377344,train
247118,train
118443,train
50389,train
86471,train
162732,train
23192,train
79634,train
50124,test
5798,train
193872,train
41750,train
113272,test
88928,val
246609,train
87658,val
400734,test
383571,train
70950,train
105225,train
127605,train
141819,train
326109,test
373261,train
114125,train
110106,train
114626,train
14980,train
364694,train
372682,train
82933,train
1389,test
415475,train
13864,val
480646,train
92846,train
326647,train
418587,train
379865,val
62329,train
118210,train
10715,train
426761,train
250853,test
30307,train
153857,test
333957,train
171820,train
218869,val
344899,test
356477,train
71300,test
355162,train
219257,train
34383,train
83501,train
365969,train
185055,train
341282,train
33000,train
60081,test
358025,train
114119,train
130532,train
161309,train
174966,train
5294,train
42360,test
13533,train
148643,train
370338,train
149369,train
166107,train
44170,val
424104,train
428249,val
86410,train
104428,val
75092,train
176087,test
341329,val
66631,train
335739,train
119219,train
150845,train
147586,val
48154,test
128712,test
92915,train
109511,train
79206,train
236612,train
220311,train
395413,train
28680,val
86738,train
113387,train
26370,train
316797,train
373368,val
344558,train
372819,train
337126,train
16174,test
361222,train
27447,train
26491,test
188226,train
50511,train
11780,train
145881,train
152546,train
359334,train
194535,train
42354,train
325215,val
167105,train
154297,train
252785,train
104984,train
262980,train
268116,train
242861,train
62276,val
41678,val
399583,train
208314,val
76983,train
67234,train
62001,test
48543,train
272020,train
247513,test
270769,val
84231,train
154033,test
109101,train
135537,train
354249,train
32201,test
40060,test
