sound_id,audio_emb_path,text_emb_path,confidence,class,class_top,title,tags,description,audio_text_sim,is_high_conf_4_5,is_conf_5
70,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\70.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\70.npy,2,sp-s,sp,EH.wav,,Part of a pack of male weird screams,0.39269527792930603,0,0
71,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\71.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\71.npy,4,fx-h,fx,HRuuhB.wav,,Part of a pack of male weird screams,0.46873363852500916,1,0
73,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\73.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\73.npy,3,fx-h,fx,HouU.wav,,Part of a pack of male weird screams,0.5045813322067261,0,0
77,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\77.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\77.npy,4,fx-h,fx,JuOb.wav,"huh,male,scream",Part of a pack of male weird screams,0.5163540244102478,1,0
80,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\80.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\80.npy,4,fx-h,fx,OaaAAhmmm.wav,"male,scream,voice",Part of a pack of male weird screams,0.5277977585792542,1,0
81,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\81.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\81.npy,3,fx-h,fx,Uehea.wav,,Part of a pack of male weird screams,0.41519835591316223,0,0
83,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\83.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\83.npy,4,fx-h,fx,UoH.wav,,Part of a pack of male weird screams,0.4838077425956726,1,0
87,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\87.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\87.npy,4,fx-n,fx,bajo_agua_LOOP.wav,"drone,field-recording,long,low,underwater,water","under water like sound looped, it's a beach field-recording with a low pass, so processed.",0.4435797333717346,1,0
209,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\209.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\209.npy,4,fx-n,fx,agua5.wav,"environmental-sounds-research,liquid,dripping,field-recording,toilet,water","part of a pack of 6 water samples from the toilet, processed with noise remover and eq",0.521176278591156,1,0
345,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\345.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\345.npy,4,fx-h,fx,handclaps.wav,"hand-clap,anechoic,field-recording",Several handclaps. Recorded with Motu 896 and Studio Projects B-1. In the Anchoic chamber of the HKU.,0.42381253838539124,1,0
370,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\370.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\370.npy,3,ss-i,ss,begin-metro-BCN.wav,"barcelona,field-recording,metro,subway",Entrance of the metro station Barceloneta in Barcelona. Recorded with a MD recorder and a Electret Condenser Microphone with a Directive angle of 120°.,0.2660443186759949,0,0
389,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\389.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\389.npy,4,fx-o,fx,glass.wav,glass,Hitting a glass cup,0.49970999360084534,1,0
444,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\444.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\444.npy,4,is-p,is,prac - snare roll short 2.wav,"drums,percussion,roll,snare",,0.46647852659225464,1,0
514,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\514.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\514.npy,3,fx-o,fx,chwchw.wav,"field-recording,machine,metallic,percussion","mono field recording made using a homemade mic in a machine shop, sounds like filename- plastic buffing machine",0.11865554749965668,0,0
517,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\517.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\517.npy,3,fx-m,fx,dopdidop.wav,"field-recording,machine,metallic,percussion","mono field recording made using a homemade mic in a machine shop, sounds like filename--wrenches",0.47990676760673523,0,0
523,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\523.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\523.npy,3,fx-o,fx,latch1.wav,"field-recording,machine,metallic,percussion","mono field recording made using a homemade mic in a machine shop, sounds like filename--latching the toolbox",0.5832882523536682,0,0
542,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\542.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\542.npy,3,m-sp,m,bean belt shaker 2a.wav,"bean,belt,shaker,version",African instrument. Bean pods strung together. Otherwise known as a fertility belt,0.5037122964859009,0,0
554,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\554.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\554.npy,5,m-m,m,Ambient loop.mp3,"music,beat,funk,rhodes,bass,drum,jazz,loop,ambient,acid",This is an ambient loop made with my Korg Trinity Workstation,0.22200044989585876,1,1
570,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\570.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\570.npy,4,fx-o,fx,zipper.wav,"close,open,zipper",the sound of a standard zipper. slow and fast. processing: noise reduction.,0.6788967251777649,1,0
642,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\642.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\642.npy,3,fx-o,fx,shekerefidget.wav,"shaker,gourd,handmade,invented-instrument",half rotation and back again shekere,0.24635860323905945,0,0
667,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\667.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\667.npy,3,m-si,m,squeaky riff 8 beat Dm 90.wav,sax,"Tenor sax sample recorded at 44.1khz by myself at home. Tempo 90bpm, Length 8 beats (2 bars), Key D minor. Let me know if you use it!",0.6343871355056763,0,0
675,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\675.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\675.npy,3,m-si,m,cool as ice 8 beat Dm 90.wav,sax,"Tenor sax sample recorded at 44.1khz by myself at home. Tempo 90bpm, Length 8 beats (2 bars), Key D minor. Let me know if you use it!",0.6340481638908386,0,0
721,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\721.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\721.npy,4,fx-h,fx,wildchild.mp3,"child,field-recording,shout",this baby has a perforating voice. Taken in the train,0.4806789457798004,1,0
759,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\759.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\759.npy,3,m-si,m,saxdebutt13.mp3,"acoustic,fragment,saxophone",some sax notes,0.5618045926094055,0,0
764,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\764.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\764.npy,4,m-si,m,in a country stylee G Maj 16beat 90.wav,"g,major,riff,sax","Tenor Saxophone riff, recorded using behringer B1 microphone through a Behringer 802A mixer onto a PC with a Terratec EWX2496 soundcard running CoolEditPro software.",0.6295150518417358,1,0
818,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\818.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\818.npy,4,is-s,is,Gd_amch0.wav,"am,chord,distorted,guitar",low-quality recording of a distorted guitar chord,0.5059219598770142,1,0
859,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\859.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\859.npy,4,sp-s,sp,soma.aiff,"speech,spoken-word,voice",Single sentence Hakim Bey quote about soma. Recorded on Sony Walkman Pro 1992.,0.37642475962638855,1,0
860,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\860.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\860.npy,4,sp-s,sp,somaplant.aif,"speech,spoken-word,voice",Single sentence Hakim Bey quote about soma. Recorded on Sony Walkman Pro 1992.,0.562896728515625,1,0
977,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\977.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\977.npy,4,fx-o,fx,RBH Glass_Break 01.wav,"break,glass,household,small,smash","Stereo recording, small glass being dropped and breaking. Recorded with a Zaxcom Deva II and a Sennheiser MKH 30 and MKH 40 as mid-side, decoded to AB stereo.",0.5231269598007202,1,0
994,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\994.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\994.npy,3,fx-o,fx,RBH_Household_cabinet 02.wav,"cabinet,door,household,indoor","cabinet door open and close. Stereo Recording, Recorded with a Zaxcom Deva II, and Sennheiser MKH 30 and MKH 40 as mid-side, decoded to AB stereo.",0.5365902185440063,0,0
1017,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1017.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1017.npy,3,fx-n,fx,RBH_Household_faucet 03.wav,"faucet,household,water","kitchen water faucet run stopStereo Recording, Recorded with a Zaxcom Deva II, and Sennheiser MKH 30 and MKH 40 as mid-side, decoded to AB stereo.",0.5041235685348511,0,0
1028,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1028.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1028.npy,4,fx-o,fx,RBH_Household_microwave.wav,"door,household,indoor,microwave","microwave door opened and closed x3Stereo Recording, Recorded with a Zaxcom Deva II, and Sennheiser MKH 30 and MKH 40 as mid-side, decoded to AB stereo.",0.5233055353164673,1,0
1042,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1042.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1042.npy,4,fx-v,fx,rbh Harley by 01.wav,"field-recording,harley,motorcycle,outdoor,pass-by","Harley Davidson Motorcycle pass by left to right.Stereo Recording, Recorded with a Zaxcom DevaII using a Senheisser MKH-30 and MKH-40, recorded MS, decoded to AB stereo.",0.6238979697227478,1,0
1053,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1053.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1053.npy,4,fx-a,fx,rbh crickets suburb night1.wav,"nature,animal,crickets,field-recording,outdoor",Suburban evening cricket ambiance.recorded with a minidisk recorder and an AT stereo mic.,0.5479173064231873,1,0
1054,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1054.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1054.npy,3,ss-n,ss,rbh meadow dc crix birds.wav,"nature,crickets,animal,birds,field-recording,outdoor","Suburban Washington DC daytime ambiance. field with crickets and birds. recorded with a Zaxcom Deva II using Sennheiser MKH-30 and MKH-40, recorded as MS, decoded to LR stereo.",0.5092470049858093,0,0
1076,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1076.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1076.npy,4,fx-ex,fx,240403E.mp3,"speech,voice","Hectic dialogue, higher voices",0.4664676785469055,1,0
1077,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1077.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1077.npy,2,sp-p,sp,240403F.mp3,"speech,voice","Voice of an Alt, telling a story",0.2838871479034424,0,0
1127,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1127.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1127.npy,4,ss-u,ss,BusyLhasaStreet.mp3,"field-recording,field,recording,street,tibet","Recorded in April 2004 in Lhasa, Tibet, on Mentseekhang Lam (Hospital Road), Near the Jokhang Square. Minidisc with Sony Stereo Mic.",0.49506673216819763,1,0
1135,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1135.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1135.npy,2,m-sp,m,the most influencial drums 08.wav,"beat,drums,electronic,loop,minimal",drum loop. heavily distorted analogue bassdrum and tom sounds,0.5453192591667175,0,0
1148,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1148.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1148.npy,2,is-e,is,shirty.wav,"bass,electronic,glitch,loop,percussion,roll",synth bass and drum roll type thing,0.3467864394187927,0,0
1167,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1167.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1167.npy,4,m-sp,m,sidstyle ripped.WAV,"blurred,drum,electronic,loop,percussion",blurred electronic drum loop,0.3758624494075775,1,0
1173,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1173.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1173.npy,4,m-sp,m,woody drums.wav,"midi,beat,drums,loop",a drum loop made in audiomulch,0.423753559589386,1,0
1194,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1194.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1194.npy,3,fx-ex,fx,M10-.mp3,"noise,repetitions",Ticking cloud,0.2223420888185501,0,0
1198,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1198.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1198.npy,4,fx-ex,fx,050701F.mp3,noise,Noise transitions,0.3664892017841339,1,0
1202,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1202.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1202.npy,3,fx-ex,fx,051001N.mp3,noise,Noise story,0.38938775658607483,0,0
1242,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1242.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1242.npy,3,m-si,m,late and jazzy 8beat Dmaj 110.wav,"110bpm,d,major,riff,sax","Tenor Saxophone riff, recorded using behringer B1 microphone through a Behringer 802A mixer onto a PC with a Terratec EWX2496 soundcard running CoolEditPro software.",0.5880056023597717,0,0
1261,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1261.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1261.npy,4,m-si,m,violin bit 11.aif,"fiddle,melody,strings,violin",Fiddle 8 note melody. Recorded using a condensor microphone though a vintage tube preamp.,0.625922679901123,1,0
1263,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1263.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1263.npy,3,m-si,m,violin bit 14.aif,"environmental-sounds-research,fiddle,melody,string,violin",Fiddle playing high 5 note melody. Melancholy. recorded using a condenser microphone though a vintage tube preamp.,0.5391798615455627,0,0
1283,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1283.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1283.npy,4,m-si,m,arpegio2.wav,"arpeggio,dreamy,guitar,mellow,repetition,repetitive","repetitive arpeggio on electric guitar, mellow and dreamy .Recorded with motu 828mk2 on Soundforge.",0.521894097328186,1,0
1370,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1370.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1370.npy,4,fx-ex,fx,050701I.mp3,"noise,repetitions","Scattered curves of noisy tones, traveling around",0.42097970843315125,1,0
1375,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1375.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1375.npy,3,m-m,m,90_bpm_nylon2.wav,"fingerpick,guitar,loop,nylon","noisy, 90 bpm arpeggiated nylon string guitar recored into logic via a CAD condenser mic through an Audiophile 2496. Audible clicktrack.",0.5517000555992126,0,0
1389,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1389.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1389.npy,4,m-sp,m,vicky1q.wav,"beat,distorted,drums,loop,percussion",distorted drum loop. variation of vicky.wav,0.40327686071395874,1,0
1399,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1399.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1399.npy,3,m-si,m,dist_guitar_triplet.wav,"distortion,guitar,triplet","Heavily distorted ""heavy metal"" style guitar triplet recorded with a parker fly through a line-6 pod.",0.5896148085594177,0,0
1405,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1405.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1405.npy,3,is-s,is,pickslide1.wav,"distortion,guitar,noise,pick,scratch,slide",Sound of the pick being slid down the strings of a distorted guitar recorded with a parker fly through a line-6 pod.,0.6803064942359924,0,0
1412,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1412.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1412.npy,2,is-e,is,p4.wav,"acoustic,detuned,lo-fi,note,piano",Sample of a poorly maintained antique square grand piano recorded via a low-quality dynamic mic directly into an Akai S5000 sample.,0.5090417265892029,0,0
1413,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1413.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1413.npy,5,is-k,is,p5.wav,"acoustic,detuned,lo-fi,note,piano",Sample of a poorly maintained antique square grand piano recorded via a low-quality dynamic mic directly into an Akai S5000 sampler.,0.5937609672546387,1,1
1475,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1475.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1475.npy,4,m-sp,m,spazSetLoop4.wav,"beat,drumset,loop,percussion","drum sounds recorded in the retroactive basement in madison, wi about 2 years ago. these loops are part of a set called spazLoops. the drums are played by a non-drummer giving us a very retarded and angular feeling . . .",0.5747166275978088,1,0
1818,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1818.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1818.npy,4,is-w,is,Db2.wav,"long,note,sax,tenor",A long note played on my tenor sax (1926 conn with a metal otto link mouthpiece) Recorded onto computer at 44.1khz through a behringer B1 microphone and a Behringer MX802A desk.,0.5955514907836914,1,0
1821,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1821.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1821.npy,4,is-w,is,E2.wav,"long,note,sax,tenor",A long note played on my tenor sax (1926 conn with a metal otto link mouthpiece) Recorded onto computer at 44.1khz through a behringer B1 microphone and a Behringer MX802A desk.,0.5843895673751831,1,0
1830,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1830.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1830.npy,4,is-w,is,G3.wav,"long,note,sax,tenor",A long note played on my tenor sax (1926 conn with a metal otto link mouthpiece) Recorded onto computer at 44.1khz through a behringer B1 microphone and a Behringer MX802A desk.,0.5896569490432739,1,0
1888,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1888.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1888.npy,2,m-sp,m,machine3.aif,"132bpm,lofi,loop,machine",132bpm loop made with reaktor,0.43727487325668335,0,0
1911,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1911.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1911.npy,2,m-si,m,pianoLoopTrem.wav,"acoustic,instrument,loop,piano,processed",simple piano loop with tremolo and reverse reverb. recorded with a small diaphragm condenser in the studio.,0.6335689425468445,0,0
1922,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1922.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1922.npy,4,fx-h,fx,rbh Applause 02 big.WAV,"applause,clap,field,interior,recording","Medium Large theater, Applause. Recorded with a pair of spaced omnis to a DA-88.",0.6062045693397522,1,0
1925,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\1925.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\1925.npy,4,fx-h,fx,rbh Applause 05 big.WAV,"applause,clap,field,interior,recording","Medium Large theater, Applause. Recorded with a pair of spaced omnis to a DA-88.",0.5781508088111877,1,0
