index,audio_emb_filepath,text_emb_filepath,top_class,top_class_idx,class,class_idx
59013,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\59013.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\59013.npy,fx,3,fx-ex,17
111073,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\111073.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\111073.npy,fx,3,fx-a,15
353550,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\353550.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\353550.npy,fx,3,fx-h,14
362908,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\362908.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\362908.npy,fx,3,fx-o,11
136745,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\136745.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\136745.npy,m,0,m-sp,0
380164,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\380164.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\380164.npy,m,0,m-sp,0
193974,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\193974.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\193974.npy,fx,3,fx-o,11
15171,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\15171.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\15171.npy,fx,3,fx-ex,17
16437,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\16437.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\16437.npy,sp,2,sp-s,8
5163,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\5163.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\5163.npy,m,0,m-sp,0
355106,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\355106.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\355106.npy,is,1,is-w,5
191991,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\191991.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\191991.npy,ss,4,ss-u,21
193747,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\193747.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\193747.npy,sp,2,sp-p,10
153632,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\153632.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\153632.npy,is,1,is-s,4
50191,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\50191.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\50191.npy,sp,2,sp-c,9
137538,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\137538.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\137538.npy,is,1,is-p,3
403343,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\403343.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\403343.npy,m,0,m-m,2
24649,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\24649.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\24649.npy,fx,3,fx-v,12
347038,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\347038.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\347038.npy,fx,3,fx-n,16
107519,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\107519.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\107519.npy,ss,4,ss-n,19
23926,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\23926.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\23926.npy,fx,3,fx-ex,17
87778,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\87778.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\87778.npy,sp,2,sp-s,8
149011,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\149011.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\149011.npy,ss,4,ss-n,19
392839,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\392839.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\392839.npy,ss,4,ss-i,20
142692,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\142692.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\142692.npy,is,1,is-p,3
242647,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\242647.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\242647.npy,sp,2,sp-s,8
120989,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\120989.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\120989.npy,m,0,m-m,2
265056,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\265056.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\265056.npy,is,1,is-p,3
147958,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\147958.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\147958.npy,ss,4,ss-n,19
276308,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\276308.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\276308.npy,is,1,is-p,3
124677,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\124677.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\124677.npy,ss,4,ss-u,21
356886,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\356886.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\356886.npy,is,1,is-w,5
353039,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\353039.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\353039.npy,m,0,m-m,2
213724,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\213724.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\213724.npy,fx,3,fx-o,11
200024,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\200024.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\200024.npy,is,1,is-p,3
38217,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\38217.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\38217.npy,fx,3,fx-ex,17
86437,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\86437.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\86437.npy,sp,2,sp-s,8
88579,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\88579.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\88579.npy,is,1,is-s,4
156727,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\156727.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\156727.npy,sp,2,sp-s,8
153994,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\153994.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\153994.npy,is,1,is-s,4
344396,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\344396.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\344396.npy,is,1,is-p,3
173110,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\173110.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\173110.npy,fx,3,fx-o,11
419197,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\419197.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\419197.npy,m,0,m-sp,0
68671,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\68671.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\68671.npy,fx,3,fx-o,11
88870,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\88870.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\88870.npy,fx,3,fx-o,11
51374,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\51374.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\51374.npy,ss,4,ss-n,19
27233,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\27233.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\27233.npy,sp,2,sp-s,8
232624,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\232624.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\232624.npy,is,1,is-e,7
358952,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\358952.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\358952.npy,is,1,is-w,5
56110,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\56110.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\56110.npy,is,1,is-s,4
114090,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\114090.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\114090.npy,ss,4,ss-u,21
137462,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\137462.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\137462.npy,is,1,is-p,3
241528,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\241528.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\241528.npy,fx,3,fx-h,14
15743,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\15743.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\15743.npy,fx,3,fx-el,18
45610,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\45610.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\45610.npy,m,0,m-m,2
386219,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\386219.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\386219.npy,fx,3,fx-o,11
121346,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\121346.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\121346.npy,fx,3,fx-o,11
101059,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\101059.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\101059.npy,sp,2,sp-p,10
378558,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\378558.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\378558.npy,fx,3,fx-ex,17
360802,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\360802.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\360802.npy,fx,3,fx-o,11
10834,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\10834.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\10834.npy,is,1,is-w,5
232274,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\232274.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\232274.npy,fx,3,fx-o,11
196065,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\196065.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\196065.npy,fx,3,fx-h,14
26906,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\26906.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\26906.npy,ss,4,ss-i,20
170962,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\170962.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\170962.npy,fx,3,fx-o,11
153977,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\153977.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\153977.npy,is,1,is-s,4
117981,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\117981.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\117981.npy,is,1,is-p,3
55273,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\55273.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\55273.npy,m,0,m-m,2
96991,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\96991.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\96991.npy,ss,4,ss-s,22
120670,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\120670.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\120670.npy,sp,2,sp-p,10
244054,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\244054.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\244054.npy,ss,4,ss-n,19
75628,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\75628.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\75628.npy,fx,3,fx-m,13
166433,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\166433.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\166433.npy,fx,3,fx-h,14
204035,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\204035.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\204035.npy,fx,3,fx-n,16
57023,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\57023.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\57023.npy,fx,3,fx-o,11
164561,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\164561.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\164561.npy,fx,3,fx-o,11
423119,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\423119.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\423119.npy,ss,4,ss-u,21
147948,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\147948.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\147948.npy,ss,4,ss-u,21
9235,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\9235.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\9235.npy,ss,4,ss-u,21
391293,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\391293.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\391293.npy,sp,2,sp-s,8
378695,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\378695.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\378695.npy,m,0,m-si,1
101460,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\101460.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\101460.npy,ss,4,ss-n,19
36554,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\36554.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\36554.npy,fx,3,fx-n,16
102007,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\102007.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\102007.npy,m,0,m-sp,0
11765,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\11765.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\11765.npy,is,1,is-s,4
126759,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\126759.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\126759.npy,ss,4,ss-u,21
374877,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\374877.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\374877.npy,is,1,is-w,5
424395,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\424395.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\424395.npy,m,0,m-si,1
122065,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\122065.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\122065.npy,ss,4,ss-u,21
146197,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\146197.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\146197.npy,fx,3,fx-n,16
173946,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\173946.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\173946.npy,ss,4,ss-i,20
355874,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\355874.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\355874.npy,is,1,is-s,4
71754,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\71754.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\71754.npy,ss,4,ss-n,19
26630,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\26630.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\26630.npy,is,1,is-p,3
417846,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\417846.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\417846.npy,m,0,m-sp,0
273710,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\273710.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\273710.npy,sp,2,sp-s,8
151544,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\151544.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\151544.npy,m,0,m-m,2
27689,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\27689.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\27689.npy,ss,4,ss-u,21
